"t"	"T"
"s"	"°C"
568.5	57.5753916663403474
569	57.612464587968494
569.5	57.5753916663403474
570	57.5753916663403474
570.5	57.5753916663403474
571	57.5753916663403474
571.5	57.5753916663403474
572	57.5753916663403474
572.5	57.5753916663403474
573	57.5753916663403474
573.5	57.5753916663403474
574	57.5753916663403474
574.5	57.5753916663403474
575	57.5753916663403474
575.5	57.5753916663403474
576	57.5753916663403474
576.5	57.5753916663403474
577	57.5753916663403474
577.5	57.5753916663403474
578	57.5753916663403474
578.5	57.5753916663403474
579	57.5753916663403474
579.5	57.5753916663403474
580	57.5753916663403474
580.5	57.5753916663403474
581	57.5753916663403474
581.5	57.5753916663403474
582	57.5753916663403474
582.5	57.5753916663403474
583	57.5753916663403474
583.5	57.5753916663403474
584	57.5753916663403474
584.5	57.5753916663403474
585	57.5753916663403474
585.5	57.5753916663403474
586	57.5753916663403474
